title,label,Price,officialDate,url,BetTimeStamp,week
Team Total – 1st Half,Over 14.5,2.100,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.095921,17
Team Total – 1st Half,Under 14.5,1.787,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.095921,17
Team Total – 1st Half,Over 9.5,1.757,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.095921,17
Team Total – 1st Half,Under 9.5,2.150,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.095921,17
Money Line – 1st Quarter,Los Angeles Rams,1.617,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.096175,17
Money Line – 1st Quarter,Atlanta Falcons,2.400,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.096175,17
Handicap – 1st Quarter,-2.5,2.060,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.096473,17
Handicap – 1st Quarter,+2.5,1.826,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.096473,17
Total – 1st Quarter,Over 10,2.080,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.096792,17
Total – 1st Quarter,Under 10,1.793,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.096792,17
Team Total – 1st Quarter,Over 6.5,1.833,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.097056,17
Team Total – 1st Quarter,Under 6.5,2.020,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.097056,17
Team Total – 1st Quarter,Over 0.5,1.561,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.097056,17
Team Total – 1st Quarter,Under 0.5,2.500,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.097056,17
Bijan Robinson Total Receiving Yards,Over 43.5 Receiving Yards,1.751,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.097276,17
Bijan Robinson Total Receiving Yards,Under 43.5 Receiving Yards,2.000,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.097276,17
Bijan Robinson Total Receptions,Over 4.5 Receptions,1.689,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.097573,17
Bijan Robinson Total Receptions,Under 4.5 Receptions,2.090,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.097573,17
Bijan Robinson Total Rush Attempts,Over 16.5 Rush Attempts,1.763,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.097854,17
Bijan Robinson Total Rush Attempts,Under 16.5 Rush Attempts,1.990,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.097854,17
Bijan Robinson Total Rushing Yards,Over 73.5 Rushing Yards,1.840,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.098185,17
Bijan Robinson Total Rushing Yards,Under 73.5 Rushing Yards,1.900,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.098185,17
Bijan Robinson Total Touchdowns,Over 0.5 Touchdowns,1.694,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.098458,17
Bijan Robinson Total Touchdowns,Under 0.5 Touchdowns,2.090,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.098458,17
Blake Corum Total Rush Attempts,Over 9.5 Rush Attempts,1.819,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.098668,17
Blake Corum Total Rush Attempts,Under 9.5 Rush Attempts,1.925,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.098668,17
Blake Corum Total Rushing Yards,Over 44.5 Rushing Yards,1.813,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.098922,17
Blake Corum Total Rushing Yards,Under 44.5 Rushing Yards,1.934,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.098922,17
Blake Corum Total Touchdowns,Over 0.5 Touchdowns,2.510,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.099186,17
Blake Corum Total Touchdowns,Under 0.5 Touchdowns,1.490,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.099186,17
Colby Parkinson Total Receiving Yards,Over 33.5 Receiving Yards,1.869,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.099465,17
Colby Parkinson Total Receiving Yards,Under 33.5 Receiving Yards,1.869,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.099465,17
Colby Parkinson Total Receptions,Over 3.5 Receptions,1.714,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.099744,17
Colby Parkinson Total Receptions,Under 3.5 Receptions,2.060,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.099744,17
Colby Parkinson Total Touchdowns,Over 0.5 Touchdowns,2.740,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.100029,17
Colby Parkinson Total Touchdowns,Under 0.5 Touchdowns,1.418,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.100029,17
Darnell Mooney Total Receiving Yards,Over 24.5 Receiving Yards,1.925,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.100313,17
Darnell Mooney Total Receiving Yards,Under 24.5 Receiving Yards,1.819,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.100313,17
Darnell Mooney Total Receptions,Over 1.5 Receptions,1.500,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.100765,17
Darnell Mooney Total Receptions,Under 1.5 Receptions,2.480,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.100765,17
Darnell Mooney Total Touchdowns,Over 0.5 Touchdowns,5.460,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.101038,17
Darnell Mooney Total Touchdowns,Under 0.5 Touchdowns,1.128,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.101038,17
Davis Allen Total Receiving Yards,Over 18.5 Receiving Yards,1.869,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.101382,17
Davis Allen Total Receiving Yards,Under 18.5 Receiving Yards,1.869,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.101382,17
Davis Allen Total Receptions,Over 2.5 Receptions,2.480,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.101733,17
Davis Allen Total Receptions,Under 2.5 Receptions,1.500,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.101733,17
Drake London Total Receiving Yards,Over 64.5 Receiving Yards,1.704,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.101995,17
Drake London Total Receiving Yards,Under 64.5 Receiving Yards,2.070,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.101995,17
Drake London Total Receptions,Over 5.5 Receptions,1.735,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.103370,17
Drake London Total Receptions,Under 5.5 Receptions,2.020,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.103370,17
Drake London Total Touchdowns,Over 0.5 Touchdowns,2.520,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.103734,17
Drake London Total Touchdowns,Under 0.5 Touchdowns,1.485,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.103734,17
Kirk Cousins Total Interceptions,Over 0.5 Interceptions,1.625,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.103982,17
Kirk Cousins Total Interceptions,Under 0.5 Interceptions,2.220,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.103982,17
Kirk Cousins Total Pass Attempts,Over 33.5 Pass Attempts,1.826,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.104197,17
Kirk Cousins Total Pass Attempts,Under 33.5 Pass Attempts,1.917,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.104197,17
Kirk Cousins Total Pass Completions,Over 20.5 Pass Completions,1.699,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.104464,17
Kirk Cousins Total Pass Completions,Under 20.5 Pass Completions,2.080,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.104464,17
Kirk Cousins Total Passing Yards,Over 225.5 Passing Yards,1.757,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.105401,17
Kirk Cousins Total Passing Yards,Under 225.5 Passing Yards,2.000,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.105401,17
Kirk Cousins Total Touchdown Passes,Over 1.5 Touchdown Passes,2.540,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.105650,17
Kirk Cousins Total Touchdown Passes,Under 1.5 Touchdown Passes,1.478,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.105650,17
Konata Mumpfield Total Receiving Yards,Over 23.5 Receiving Yards,1.769,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.106246,17
Konata Mumpfield Total Receiving Yards,Under 23.5 Receiving Yards,1.980,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.106246,17
Konata Mumpfield Total Receptions,Over 2.5 Receptions,2.300,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.106814,17
Konata Mumpfield Total Receptions,Under 2.5 Receptions,1.574,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.106814,17
Kyle Pitts Total Receiving Yards,Over 54.5 Receiving Yards,1.763,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.107092,17
Kyle Pitts Total Receiving Yards,Under 54.5 Receiving Yards,1.990,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.107092,17
Kyle Pitts Total Receptions,Over 4.5 Receptions,1.549,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.107456,17
Kyle Pitts Total Receptions,Under 4.5 Receptions,2.360,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.107456,17
Kyle Pitts Total Touchdowns,Over 0.5 Touchdowns,2.950,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.107995,17
Kyle Pitts Total Touchdowns,Under 0.5 Touchdowns,1.369,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.107995,17
Kyren Williams Total Receiving Yards,Over 11.5 Receiving Yards,1.854,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.108334,17
Kyren Williams Total Receiving Yards,Under 11.5 Receiving Yards,1.884,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.108334,17
Kyren Williams Total Receptions,Over 1.5 Receptions,1.546,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.108730,17
Kyren Williams Total Receptions,Under 1.5 Receptions,2.360,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.108730,17
Kyren Williams Total Rush Attempts,Over 14.5 Rush Attempts,1.869,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.109125,17
Kyren Williams Total Rush Attempts,Under 14.5 Rush Attempts,1.869,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.109125,17
Kyren Williams Total Rushing Yards,Over 63.5 Rushing Yards,1.793,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.109597,17
Kyren Williams Total Rushing Yards,Under 63.5 Rushing Yards,1.952,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.109597,17
Kyren Williams Total Touchdowns,Over 0.5 Touchdowns,1.925,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.109883,17
Kyren Williams Total Touchdowns,Under 0.5 Touchdowns,1.819,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.109883,17
Matthew Stafford Total Interceptions,Over 0.5 Interceptions,2.320,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.110165,17
Matthew Stafford Total Interceptions,Under 0.5 Interceptions,1.574,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.110165,17
Matthew Stafford Total Pass Attempts,Over 33.5 Pass Attempts,1.751,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.110625,17
Matthew Stafford Total Pass Attempts,Under 33.5 Pass Attempts,2.000,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.110625,17
Matthew Stafford Total Pass Completions,Over 21.5 Pass Completions,1.699,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.110952,17
Matthew Stafford Total Pass Completions,Under 21.5 Pass Completions,2.080,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.110952,17
Matthew Stafford Total Passing Yards,Over 268.5 Passing Yards,1.751,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.111186,17
Matthew Stafford Total Passing Yards,Under 268.5 Passing Yards,2.000,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.111186,17
Matthew Stafford Total Touchdown Passes,Over 2.5 Touchdown Passes,2.420,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.111493,17
Matthew Stafford Total Touchdown Passes,Under 2.5 Touchdown Passes,1.523,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.111493,17
Puka Nacua Total Receiving Yards,Over 105.5 Receiving Yards,1.781,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.111788,17
Puka Nacua Total Receiving Yards,Under 105.5 Receiving Yards,1.970,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.111788,17
Puka Nacua Total Receptions,Over 7.5 Receptions,1.625,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.112017,17
Puka Nacua Total Receptions,Under 7.5 Receptions,2.200,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.112017,17
Puka Nacua Total Touchdowns,Over 0.5 Touchdowns,1.719,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.112468,17
Puka Nacua Total Touchdowns,Under 0.5 Touchdowns,2.050,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.112468,17
Terrance Ferguson Total Receiving Yards,Over 24.5 Receiving Yards,1.869,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.112739,17
Terrance Ferguson Total Receiving Yards,Under 24.5 Receiving Yards,1.869,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.112739,17
Terrance Ferguson Total Receptions,Over 1.5 Receptions,1.555,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.113184,17
Terrance Ferguson Total Receptions,Under 1.5 Receptions,2.340,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.113184,17
Terrance Ferguson Total Touchdowns,Over 0.5 Touchdowns,3.380,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.113588,17
Terrance Ferguson Total Touchdowns,Under 0.5 Touchdowns,1.292,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.113588,17
Tyler Allgeier Total Rushing Yards,Over 23.5 Rushing Yards,1.869,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.114227,17
Tyler Allgeier Total Rushing Yards,Under 23.5 Rushing Yards,1.869,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.114227,17
Tyler Allgeier Total Touchdowns,Over 0.5 Touchdowns,3.000,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.114704,17
Tyler Allgeier Total Touchdowns,Under 0.5 Touchdowns,1.358,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.114704,17
Money Line – Game,Carolina Panthers,2.440,2026-01-03,https://www.pinnacle.com/en/football/nfl/carolina-panthers-vs-tampa-bay-buccaneers/1621503970/#all,2025-12-29T09:30:51.949861,
Money Line – Game,Tampa Bay Buccaneers,1.613,2026-01-03,https://www.pinnacle.com/en/football/nfl/carolina-panthers-vs-tampa-bay-buccaneers/1621503970/#all,2025-12-29T09:30:51.949861,
Handicap – Game,-3.5,3.280,2026-01-03,https://www.pinnacle.com/en/football/nfl/carolina-panthers-vs-tampa-bay-buccaneers/1621503970/#all,2025-12-29T09:30:51.951116,
Handicap – Game,+3.5,1.354,2026-01-03,https://www.pinnacle.com/en/football/nfl/carolina-panthers-vs-tampa-bay-buccaneers/1621503970/#all,2025-12-29T09:30:51.951116,
Handicap – Game,-1.0,2.470,2026-01-03,https://www.pinnacle.com/en/football/nfl/carolina-panthers-vs-tampa-bay-buccaneers/1621503970/#all,2025-12-29T09:30:51.951116,
Handicap – Game,+1.0,1.578,2026-01-03,https://www.pinnacle.com/en/football/nfl/carolina-panthers-vs-tampa-bay-buccaneers/1621503970/#all,2025-12-29T09:30:51.951116,
Handicap – Game,+1.0,2.340,2026-01-03,https://www.pinnacle.com/en/football/nfl/carolina-panthers-vs-tampa-bay-buccaneers/1621503970/#all,2025-12-29T09:30:51.951116,
Handicap – Game,-1.0,1.641,2026-01-03,https://www.pinnacle.com/en/football/nfl/carolina-panthers-vs-tampa-bay-buccaneers/1621503970/#all,2025-12-29T09:30:51.951116,
Handicap – Game,+1.5,2.250,2026-01-03,https://www.pinnacle.com/en/football/nfl/carolina-panthers-vs-tampa-bay-buccaneers/1621503970/#all,2025-12-29T09:30:51.951116,
