team,player,pos,PPR_PTS,INT_PASS,TD_PASS,YDS_PASS,TD_RUSH,YDS_RUSH,TD_REC,YDS_REC,REC_REC,pos_rank
CAROLINA PANTHERS,CHUBA HUBBARD,RB,134.05,0,0,0,6.5,950.5,0,0,0,15
TENNESSEE TITANS,TONY POLLARD,RB,116.75500000000001,0,0,0,4.8675,875.5,0,0,0,16
DETROIT LIONS,DAVID MONTGOMERY,RB,115.30625000000002,0,0,0,7.647500000000001,694.2125000000001,0,0,0,17
CHICAGO BEARS,D'ANDRE SWIFT,RB,99.62175,0,0,0,4.4275,730.5675,0,0,0,18
KANSAS CITY CHIEFS,ISIAH PACHECO,RB,94.25925000000001,0,0,0,5.3774999999999995,619.9425,0,0,0,19
MINNESOTA VIKINGS,AARON JONES,RB,81.14975000000001,0,0,0,3.307499999999999,613.0475000000001,0,0,0,20
PITTSBURGH STEELERS,JAYLEN WARREN,RB,66.95575000000001,0,0,0,0,669.5575,0,0,0,21
CINCINNATI BENGALS,JA' MARR CHASE,WR/TE,309.79,0,0,0,0,0,11.040000000000003,1350.5,108.5,1
MINNESOTA VIKINGS,JUSTIN JEFFERSON,WR/TE,280.61125000000004,0,0,0,0,0,8.4075,1344.2875,95.73750000000001,2
ATLANTA FALCONS,DRAKE LONDON,WR/TE,274.4365,0,0,0,0,0,7.237499999999998,1415.115,89.5,3
HOUSTON TEXANS,NICO COLLINS,WR/TE,266.09375,0,0,0,0,0,8.2225,1236.7875,93.07999999999998,4
DALLAS COWBOYS,CEEDEE LAMB,WR/TE,262.17125,0,0,0,0,0,6.9375,1110.4625,109.5,5
NEW YORK GIANTS,MALIK NABERS,WR/TE,261.9375,0,0,0,0,0,7.799999999999999,1175.5,97.5875,6
LOS ANGELES RAMS,PUKA NACUA,WR/TE,259.80500000000006,0,0,0,0,0,6.5725,1200.5,100.32000000000002,7
DETROIT LIONS,AMON-RA ST. BROWN,WR/TE,258.4475,0,0,0,0,0,8.160000000000002,1100.5,99.4375,8
JACKSONVILLE JAGUARS,BRIAN THOMAS,WR/TE,238.57500000000002,0,0,0,0,0,6.337500000000001,1150.5,85.5,9
LOS ANGELES CHARGERS,LADD MCCONKEY,WR/TE,234.49900000000002,0,0,0,0,0,6.765,976.965,96.21249999999999,10
TAMPA BAY BUCS,MIKE EVANS,WR/TE,227.97975,0,0,0,0,0,8.0625,1154.4225,64.1625,11
SEATTLE SEAHAWKS,JAXON SMITH-NJIGBA,WR/TE,220.55,0,0,0,0,0,6,950.5,89.5,12
PHILADELPHIA EAGLES,A.J. BROWN,WR/TE,220.24625000000003,0,0,0,0,0,6.6375,1041.0875,76.3125,13
WASHINGTON COMMANDERS,TERRY MCLAURIN,WR/TE,216.01200000000003,0,0,0,0,0,6.759999999999999,959.5200000000002,79.5,14
CINCINNATI BENGALS,TEE HIGGINS,WR/TE,215.0825,0,0,0,0,0,7.124999999999999,975.5,74.7825,15
TENNESSEE TITANS,CALVIN RIDLEY,WR/TE,213.6115,0,0,0,0,0,5.719999999999999,1062.59,73.0325,16
PITTSBURGH STEELERS,DK METCALF,WR/TE,212.47500000000002,0,0,0,0,0,6.9875,950.5,75.5,17
ARIZONA CARDINALS,MARVIN HARRISON,WR/TE,211.84875,0,0,0,0,0,6.195,1021.7874999999999,72.5,18
LOS ANGELES RAMS,DAVANTE ADAMS,WR/TE,211.50300000000004,0,0,0,0,0,6.8425,912.4800000000001,79.20000000000002,19
ARIZONA CARDINALS,TREY MCBRIDE,WR/TE,210.31375000000003,0,0,0,0,0,4.8675,856.0875000000001,95.5,20
DENVER BRONCOS,COURTLAND SUTTON,WR/TE,208.03500000000003,0,0,0,0,0,7.2475,900.5,74.5,21
CHICAGO BEARS,DJ MOORE,WR/TE,203.83625,0,0,0,0,0,5.7525,902.3375000000001,79.0875,22
DETROIT LIONS,JAMESON WILLIAMS,WR/TE,199.89524999999998,0,0,0,0,0,5.5,1040.0774999999999,62.887499999999996,23
PHILADELPHIA EAGLES,DEVONTA SMITH,WR/TE,198.27875,0,0,0,0,0,6.1325,809.8375000000001,80.5,24
SAN FRANCISCO 49ERS,GEORGE KITTLE,WR/TE,197.18375000000003,0,0,0,0,0,6.0125,856.0875000000001,75.5,25
SAN FRANCISCO 49ERS,RICKY PEARSALL,WR/TE,194.28325,0,0,0,0,0,5.3774999999999995,948.3075,67.1875,26
CLEVELAND BROWNS,JERRY JEUDY,WR/TE,193.55,0,0,0,0,0,3.5,900.5,82.5,27
BALTIMORE RAVENS,ZAY FLOWERS,WR/TE,193.257,0,0,0,0,0,5.0175,936.5199999999999,69.5,28
DALLAS COWBOYS,GEORGE PICKENS,WR/TE,189.55,0,0,0,0,0,5.5,900.5,66.5,29
KANSAS CITY CHIEFS,TRAVIS KELCE,WR/TE,182.37475,0,0,0,0,0,5.692500000000001,591.9225000000001,89.0275,30
NEW ORLEANS SAINTS,CHRIS OLAVE,WR/TE,176.78250000000003,0,0,0,0,0,4.3,850.5,65.9325,31
NEW ENGLAND PATRIOTS,STEFON DIGGS,WR/TE,175.9155,0,0,0,0,0,4.679999999999999,720.4800000000001,75.7875,32
DETROIT LIONS,SAM LAPORTA,WR/TE,174.55,0,0,0,0,0,6.5,700.5,65.5,33
MINNESOTA VIKINGS,T.J. HOCKENSON,WR/TE,173.508,0,0,0,0,0,5.0600000000000005,696.4800000000001,73.5,34
CHICAGO BEARS,ROME ODUNZE,WR/TE,167.86675,0,0,0,0,0,4.235,752.6925,67.1875,35
BUFFALO BILLS,KHALIL SHAKIR,WR/TE,166.66400000000002,0,0,0,0,0,4.320000000000001,682.4400000000002,72.5,36
INDIANAPOLIS COLTS,JOSH DOWNS,WR/TE,164.04749999999999,0,0,0,0,0,3.0975,750.5,70.4125,37
SAN FRANCISCO 49ERS,JAUAN JENNINGS,WR/TE,162.496,0,0,0,0,0,4.6575000000000015,693.385,65.2125,38
INDIANAPOLIS COLTS,MICHAEL PITTMAN,WR/TE,159.66250000000002,0,0,0,0,0,3.69,775.5,59.972500000000004,39
WASHINGTON COMMANDERS,DEEBO SAMUEL,WR/TE,159.25375000000003,0,0,0,0,0,4.5,647.9625000000001,67.4575,40
BUFFALO BILLS,KEON COLEMAN,WR/TE,156.49124999999998,0,0,0,0,0,5.5,779.9124999999999,45.5,41
BALTIMORE RAVENS,MARK ANDREWS,WR/TE,146.22050000000002,0,0,0,0,0,6.0125,546.455,55.5,42
GREEN BAY PACKERS,TUCKER KRAFT,WR/TE,142.02875,0,0,0,0,0,4.1625000000000005,645.5375,52.5,43
CLEVELAND BROWNS,DAVID NJOKU,WR/TE,141.16725000000002,0,0,0,0,0,4.320000000000001,528.5475000000001,62.3925,44
DENVER BRONCOS,EVAN ENGRAM,WR/TE,140.595,0,0,0,0,0,3.9025,604.2750000000001,56.752500000000005,45
DALLAS COWBOYS,JAKE FERGUSON,WR/TE,138.73375,0,0,0,0,0,3.5,532.3375,64.5,46
PHILADELPHIA EAGLES,DALLAS GOEDERT,WR/TE,137.05,0,0,0,0,0,3.5,575.5,58.5,47
HOUSTON TEXANS,CHRISTIAN KIRK,WR/TE,135.57925,0,0,0,0,0,3.585,597.8175,54.287499999999994,48
BUFFALO BILLS,DALTON KINCAID,WR/TE,131.13875000000002,0,0,0,0,0,4.0424999999999995,555.4625,51.337500000000006,49
CLEVELAND BROWNS,CEDRIC TILLMAN,WR/TE,127.49175000000001,0,0,0,0,0,3.0975,575.6925,51.337500000000006,50
NEW ENGLAND PATRIOTS,HUNTER HENRY,WR/TE,125.11425,0,0,0,0,0,3.9825,487.1925,52.5,51
TENNESSEE TITANS,CHIG OKONKWO,WR/TE,123.54325,0,0,0,0,0,2.5999999999999996,558.0575,52.137499999999996,52
ATLANTA FALCONS,KYLE PITTS,WR/TE,122.63175000000001,0,0,0,0,0,3.7,509.3175,49.5,53
JACKSONVILLE JAGUARS,BRENTON STRANGE,WR/TE,121.19975000000002,0,0,0,0,0,3.3449999999999998,486.2975000000001,52.5,54
PITTSBURGH STEELERS,JONNU SMITH,WR/TE,120.21925,0,0,0,0,0,3.5,487.1925,50.5,55
NEW YORK JETS,GARRETT WILSON,WR/TE,118.605,0,0,0,0,0,5.0175,0,88.5,56
WASHINGTON COMMANDERS,ZACH ERTZ,WR/TE,115.083,0,0,0,0,0,4.425,330.33000000000004,55.5,57
LAS VEGAS RAIDERS,BROCK BOWERS,WR/TE,112.4025,0,0,0,0,0,4.647500000000001,0,84.5175,58
HOUSTON TEXANS,DALTON SCHULTZ,WR/TE,95.796,0,0,0,0,0,2.415,366.135,44.6925,59
SEATTLE SEAHAWKS,COOPER KUPP,WR/TE,88.54425,0,0,0,0,0,4.425,619.9425,0,60
NEW ORLEANS SAINTS,RASHID SHAHEED,WR/TE,85.20675,0,0,0,0,0,3.5,642.0675,0,61
NEW ORLEANS SAINTS,JUWAN JOHNSON,WR/TE,84.77775,0,0,0,0,0,0,382.77750000000003,46.5,62
LAS VEGAS RAIDERS,JAKOBI MEYERS,WR/TE,84.4575,0,0,0,0,0,2.9399999999999995,0,66.8175,63
NEW YORK GIANTS,THEO JOHNSON,WR/TE,78.3735,0,0,0,0,0,0,366.135,41.760000000000005,64
TENNESSEE TITANS,TYLER LOCKETT,WR/TE,49.8225,0,0,0,0,0,3.0975,0,31.237499999999997,65
NEW YORK GIANTS,WAN'DALE ROBINSON,WR/TE,48.71925,0,0,0,0,0,0,487.1925,0,66
BALTIMORE RAVENS,DEANDRE HOPKINS,WR/TE,48.08024999999999,0,0,0,0,0,3.307499999999999,282.35249999999996,0,67
ARIZONA CARDINALS,MICHAEL WILSON,WR/TE,46.506750000000004,0,0,0,0,0,0,465.0675,0,68
NEW YORK JETS,BREECE HALL,WR/TE,46.5,0,0,0,0,0,0,0,46.5,69
LOS ANGELES RAMS,TYLER HIGBEE,WR/TE,42.76475000000001,0,0,0,0,0,2.66,268.0475,0,70
