team,player,pos,PPR_PTS,TD_PASS,YDS_PASS,TD_RUSH,YDS_RUSH,TD_REC,YDS_REC,REC_REC,pos_rank
TAMPA BAY BUCS,BUCKY IRVING,RB,105.49025,0,0,5.5,724.9025,0,0,0,24
LOS ANGELES RAMS,BLAKE CORUM,RB,103.02499999999999,0,0,5.9125,675.5,0,0,0,25
PITTSBURGH STEELERS,RICO DOWDLE,RB,102.05,0,0,4.5,750.5,0,0,0,26
WASHINGTON COMMANDERS,JACORY CROSKEY-MERRITT,RB,101.77225,0,0,5.5,687.7225,0,0,0,27
CLEVELAND BROWNS,QUINSHON JUDKINS,RB,100.83675,0,0,5.775,661.8674999999998,0,0,0,28
NEW ENGLAND PATRIOTS,RHAMONDRE STEVENSON,RB,96.845,0,0,6.1325,600.5,0,0,0,29
CHICAGO BEARS,KYLE MONANGAI,RB,94.815,0,0,5.3774999999999995,625.5,0,0,0,30
PITTSBURGH STEELERS,JAYLEN WARREN,RB,86.55000000000001,0,0,4,625.5,0,0,0,31
CHICAGO BEARS,D'ANDRE SWIFT,RB,80.05000000000001,0,0,0,800.5,0,0,0,32
JACKSONVILLE JAGUARS,BHAYSHUL TUTEN,RB,66.41925,0,0,0,664.1925,0,0,0,33
MINNESOTA VIKINGS,JORDAN MASON,RB,65.05,0,0,0,650.5,0,0,0,34
MINNESOTA VIKINGS,AARON JONES,RB,61.22025000000001,0,0,2.8175,443.15250000000003,0,0,0,35
CINCINNATI BENGALS,JA'MARR CHASE,WR/TE,308.05,0,0,0,0,10.5,1325.5,112.5,1
LOS ANGELES RAMS,PUKA NACUA,WR/TE,306.82500000000005,0,0,0,0,8.9625,1375.5,115.5,2
DETROIT LIONS,AMON-RA ST. BROWN,WR/TE,284.44425,0,0,0,0,10.2125,1106.6925,112.5,3
MINNESOTA VIKINGS,JUSTIN JEFFERSON,WR/TE,264.885,0,0,0,0,8.2225,1150.5,100.5,4
DALLAS COWBOYS,CEEDEE LAMB,WR/TE,259.55,0,0,0,0,7.5,1200.5,94.5,5
SEATTLE SEAHAWKS,JAXON SMITH-NJIGBA,WR/TE,257.72749999999996,0,0,0,0,7.5225,1350.5,77.54249999999999,6
ATLANTA FALCONS,DRAKE LONDON,WR/TE,255.31,0,0,0,0,8.709999999999999,1125.5,90.5,7
LAS VEGAS RAIDERS,BROCK BOWERS,WR/TE,249.06725,0,0,0,0,7.995,1105.9724999999999,90.5,8
NEW ENGLAND PATRIOTS,A.J. BROWN,WR/TE,241.88500000000002,0,0,0,0,8.2225,1100.5,82.5,9
DALLAS COWBOYS,GEORGE PICKENS,WR/TE,235.88500000000002,0,0,0,0,8.2225,1050.5,81.5,10
ARIZONA CARDINALS,TREY MCBRIDE,WR/TE,227.95575000000002,0,0,0,0,6.5,884.5575,100.5,11
DENVER BRONCOS,JAYLEN WADDLE,WR/TE,224.25975,0,0,0,0,5.5,1046.2224999999999,86.63749999999999,12
NEW ORLEANS SAINTS,CHRIS OLAVE,WR/TE,220.46625,0,0,0,0,6.1325,971.7125000000001,86.5,13
PHILADELPHIA EAGLES,DEVONTA SMITH,WR/TE,220.13000000000002,0,0,0,0,5.5,1050.5,82.08000000000001,14
NEW YORK GIANTS,MALIK NABERS,WR/TE,216.52800000000008,0,0,0,0,7.200000000000001,960.4800000000002,77.28000000000002,15
BALTIMORE RAVENS,ZAY FLOWERS,WR/TE,211.05,0,0,0,0,5.5,975.5,80.5,16
CHICAGO BEARS,LUTHER BURDEN,WR/TE,207.38725,0,0,0,0,5.3774999999999995,1046.2224999999999,70.5,17
NEW YORK JETS,GARRETT WILSON,WR/TE,203.8275,0,0,0,0,4.5,999.5,76.8775,18
CHICAGO BEARS,COLSTON LOVELAND,WR/TE,203.67624999999998,0,0,0,0,6.5725,887.4124999999999,75.5,19
LOS ANGELES CHARGERS,LADD MCCONKEY,WR/TE,201.62500000000003,0,0,0,0,6.1325,875.5,77.28000000000002,20
INDIANAPOLIS COLTS,TYLER WARREN,WR/TE,194.40225000000004,0,0,0,0,4.235,926.7225,76.32000000000002,21
DETROIT LIONS,JAMESON WILLIAMS,WR/TE,194.34500000000003,0,0,0,0,6.1325,950.5,62.5,22
BUFFALO BILLS,DJ MOORE,WR/TE,187.485,0,0,0,0,6.5725,825.5,65.5,23
DENVER BRONCOS,COURTLAND SUTTON,WR/TE,184.15750000000003,0,0,0,0,7.2475,800.5,60.6225,24
CHICAGO BEARS,ROME ODUNZE,WR/TE,181.2975,0,0,0,0,6.5725,800.5,61.8125,25
WASHINGTON COMMANDERS,TERRY MCLAURIN,WR/TE,177.41474999999997,0,0,0,0,0,1105.9724999999999,66.8175,26
ATLANTA FALCONS,KYLE PITTS,WR/TE,174.55,0,0,0,0,4.5,750.5,72.5,27
ARIZONA CARDINALS,MARVIN HARRISON,WR/TE,169.305,0,0,0,0,4.0424999999999995,825.5,62.5,28
DETROIT LIONS,SAM LAPORTA,WR/TE,169.05,0,0,0,0,5.5,675.5,68.5,29
PITTSBURGH STEELERS,MICHAEL PITTMAN,WR/TE,167.285,0,0,0,0,3.6225000000000005,750.5,70.5,30
CAROLINA PANTHERS,TETAIROA MCMILLAN,WR/TE,167.05,0,0,0,0,0,925.5,74.5,31
BUFFALO BILLS,KHALIL SHAKIR,WR/TE,162.115,0,0,0,0,4.4275,650.5,70.5,32
JACKSONVILLE JAGUARS,JAKOBI MEYERS,WR/TE,161.285,0,0,0,0,3.6225000000000005,700.5,69.5,33
SAN FRANCISCO 49ERS,GEORGE KITTLE,WR/TE,158.22275,0,0,0,0,5.719999999999999,584.0275,65.5,34
ARIZONA CARDINALS,MICHAEL WILSON,WR/TE,149.337,0,0,0,0,3.0975,702.5199999999999,60.5,35
CINCINNATI BENGALS,TEE HIGGINS,WR/TE,147.28575,0,0,0,0,0,796.0575,67.68,36
KANSAS CITY CHIEFS,RASHEE RICE,WR/TE,142.55,0,0,0,0,7.5,975.5,0,37
DALLAS COWBOYS,JAKE FERGUSON,WR/TE,140.9205,0,0,0,0,4.4275,528.4800000000001,61.5075,38
KANSAS CITY CHIEFS,TRAVIS KELCE,WR/TE,140.05,0,0,0,0,0,675.5,72.5,39
BALTIMORE RAVENS,MARK ANDREWS,WR/TE,139.845,0,0,0,0,6.1325,525.5,50.5,40
GREEN BAY PACKERS,MATTHEW GOLDEN,WR/TE,139.115,0,0,0,0,4.4275,600.5,52.5,41
TAMPA BAY BUCS,EMEKA EGBUKA,WR/TE,135.80374999999998,0,0,0,0,6.5,968.0374999999999,0,42
CLEVELAND BROWNS,JERRY JEUDY,WR/TE,124.775,0,0,0,0,2.7875,625.5,45.5,43
LOS ANGELES RAMS,DAVANTE ADAMS,WR/TE,120.19975000000002,0,0,0,0,8.4075,697.5475000000001,0,44
PITTSBURGH STEELERS,DK METCALF,WR/TE,115.55000000000001,0,0,0,0,5.5,825.5,0,45
CLEVELAND BROWNS,KC CONCEPCION,WR/TE,114.94800000000001,0,0,0,0,0,624.4800000000001,52.5,46
JACKSONVILLE JAGUARS,PARKER WASHINGTON,WR/TE,107.67875,0,0,0,0,4.5,806.7874999999999,0,47
GREEN BAY PACKERS,TUCKER KRAFT,WR/TE,104.88125000000001,0,0,0,0,5.3774999999999995,726.1625,0,48
LOS ANGELES CHARGERS,QUENTIN JOHNSTON,WR/TE,101.445,0,0,0,0,5.2325,700.5,0,49
CLEVELAND BROWNS,HAROLD FANNIN,WR/TE,99.55,0,0,0,0,4.5,725.5,0,50
INDIANAPOLIS COLTS,JOSH DOWNS,WR/TE,99.115,0,0,0,0,4.4275,725.5,0,51
NEW ENGLAND PATRIOTS,ROMEO DOUBS,WR/TE,98.25999999999999,0,0,0,0,5.535,650.5,0,52
TAMPA BAY BUCS,CHRIS GODWIN,WR/TE,97.25700000000002,0,0,0,0,5.0175,671.5200000000001,0,53
GREEN BAY PACKERS,JAYDEN REED,WR/TE,96.57499999999999,0,0,0,0,4.8374999999999995,675.5,0,54
JACKSONVILLE JAGUARS,BRIAN THOMAS,WR/TE,96.445,0,0,0,0,3.9825,725.5,0,55
GREEN BAY PACKERS,CHRISTIAN WATSON,WR/TE,96.425,0,0,0,0,6.9875,0,54.5,56
NEW ORLEANS SAINTS,JORDYN TYSON,WR/TE,94.895,0,0,0,0,3.307499999999999,750.5,0,57
TENNESSEE TITANS,CARNELL TATE,WR/TE,92.52674999999999,0,0,0,0,3.9825,686.3175,0,58
KANSAS CITY CHIEFS,XAVIER WORTHY,WR/TE,87.45875000000001,0,0,0,0,4.1625000000000005,624.8375,0,59
MINNESOTA VIKINGS,JORDAN ADDISON,WR/TE,86.785,0,0,0,0,3.6225000000000005,650.5,0,60
TENNESSEE TITANS,WAN'DALE ROBINSON,WR/TE,85.05,0,0,0,0,2.5,700.5,0,61
PHILADELPHIA EAGLES,MAKAI LEMON,WR/TE,81.115,0,0,0,0,2.6775,650.5,0,62
CAROLINA PANTHERS,JALEN COKER,WR/TE,78.635,0,0,0,0,3.0975,600.5,0,63
HOUSTON TEXANS,JAYDEN HIGGINS,WR/TE,78.55000000000001,0,0,0,0,3.5,575.5,0,64
NEW YORK GIANTS,ISAIAH LIKELY,WR/TE,76.24800000000002,0,0,0,0,3.5,552.4800000000001,0,65
HOUSTON TEXANS,DALTON SCHULTZ,WR/TE,74.025,0,0,0,0,3.1625000000000005,550.5,0,66
MINNESOTA VIKINGS,T.J. HOCKENSON,WR/TE,73.05000000000001,0,0,0,0,3,550.5,0,67
BUFFALO BILLS,DALTON KINCAID,WR/TE,73.0125,0,0,0,0,3.9825,0,49.1175,68
LAS VEGAS RAIDERS,TRE TUCKER,WR/TE,71.41000000000001,0,0,0,0,2.3100000000000005,575.5,0,69
SEATTLE SEAHAWKS,RASHID SHAHEED,WR/TE,70.55000000000001,0,0,0,0,3,525.5,0,70
SAN FRANCISCO 49ERS,CHRISTIAN,WR/TE,70.5,0,0,0,0,0,0,70.5,71
JACKSONVILLE JAGUARS,BRENTON STRANGE,WR/TE,68.91000000000001,0,0,0,0,2.3100000000000005,550.5,0,72
MINNESOTA VIKINGS,JAUAN JENNINGS,WR/TE,68.55000000000001,0,0,0,0,3.5,475.5,0,73
NEW YORK JETS,OMAR COOPER,WR/TE,67.95,0,0,0,0,3,499.5,0,74
CLEVELAND BROWNS,DENZEL BOSTON,WR/TE,65.55000000000001,0,0,0,0,3,475.5,0,75
LAS VEGAS RAIDERS,JALEN NAILOR,WR/TE,65.27125000000001,0,0,0,0,3.1625000000000005,462.96250000000003,0,76
TENNESSEE TITANS,CALVIN RIDLEY,WR/TE,63.23275000000001,0,0,0,0,2.8175,463.27750000000003,0,77
NEW YORK JETS,KENYON SADIQ,WR/TE,62.985,0,0,0,0,2.5725,475.5,0,78
TAMPA BAY BUCS,CADE OTTON,WR/TE,62.550000000000004,0,0,0,0,2.5,475.5,0,79
WASHINGTON COMMANDERS,CHIQ OKONKWO,WR/TE,60.15075000000001,0,0,0,0,0,601.5075,0,80
BUFFALO BILLS,DALTON KINCIAD,WR/TE,57.569250000000004,0,0,0,0,0,575.6925,0,81
NEW ORLEANS SAINTS,JUWAN JOHNSON,WR/TE,57.550000000000004,0,0,0,0,0,575.5,0,82
SAN FRANCISCO 49ERS,MIKE EVANS,WR/TE,56.5,0,0,0,0,0,0,56.5,83
TENNESSEE TITANS,GUNNAR HELM,WR/TE,55.050000000000004,0,0,0,0,2.5,400.5,0,84
PITTSBURGH STEELERS,GERMIE BERNARD,WR/TE,52.633750000000006,0,0,0,0,2.2125,393.58750000000003,0,85
SEATTLE SEAHAWKS,COOPER KUPP,WR/TE,47.550000000000004,0,0,0,0,0,475.5,0,86
SEATTLE SEAHAWKS,AJ BARNER SEA,WR/TE,42.550000000000004,0,0,0,0,0,425.5,0,87
NEW YORK GIANTS,DARNELL MOONEY,WR/TE,39.86925,0,0,0,0,0,398.6925,0,88
LOS ANGELES RAMS,TERRANCE FERGUSON,WR/TE,39.86925,0,0,0,0,0,398.6925,0,88
DENVER BRONCOS,EVAN ENGRAM,WR/TE,39.35875000000001,0,0,0,0,0,393.58750000000003,0,90
